english,korean
"property,fortune, assets, possessions",재산
Team,팀
Parents,부모
Somewhat,약간
"language,speech",언어
"To demand,claim,request",요구하다
"To go up, ascend",올라가다
First,첫
The director,감독
That day or that same day,그날
"Actually, really",사실
"Always, constantly",자주
"Have, encounter",당하다
Make a thing of,삼다
"About, approximately",약
A period or a time or,기간
Tobacco,담배
"Riase, get up; start, commence",일으키다
Temporarily,일단
Grandfather,할아버지
"Organization (composition, structure)",조직
"To be born, see the light of day",태어나다
Construction site,공장
Already,벌써
"Enjoy oneself,take pleasure,delight",즐기다
"since,from",지
A patient,환자
Change,변하다
An accident,사고
All the same,그래도
However much,아무리
"Adjust, adapt",맞추다
Uncooked rice,쌀
"universal,common,usual",일반
"interesting,fun",재미있다
To teach,가르치다
Conversation,대화
"Stop, obstruct",막다
This year,올해
An elder brother,형
Differently,달리
Throw away,버리다
"affix,put on",붙이다
"A man, a person",인물
Always,늘
everything,모두
The whole country,전국
"Finish, complete",마치다
"all,every",전
"Only, merely",다만
Help,도움
Famly,가정
Hang up or suspend,걸다
To fall into,빠지다
To be far,멀다
Bus,버스
"These days, nowadays",오늘날
For a little while,잠시
Agriculture,농업
"Put, place up to",대다
"form,style",식
"An opinion,a suggestion",의견
Stage,무대
Picture,사진
"assertion,insistance",주장
"To express, make known by saying",표현하다
"To be due to, caused by",인하다
"To be strange,queer",이상하다
The first,제일
"Stick, adhere to",붙다
Probably,아마
To tell a story,얘기하다
"Join, connect",잇다
A little,조금
Race or match or contest,경기
"goal,purpose",목적
"attitude,comportment",태도
Male,남성
"The circumference,the girth",주위
Countermeasure,대책
That much or a little amount,그만
"Originate, come from",발생하다
Leg,다리
"anybody,everybody",아무
"By chance, accident",어쩌다
"stuff,material",재료
Each and every,각각
Never or by no means,결코
"Move, transfer (2)(sickness) communicate, transfer to",옮기다
Always,항상
A year,해
"To lose, to miss, to be deprived",잃다
Freedom,자유
Responsibility,책임
Be changed,바뀌다
To resemble,비슷하다
"To be extreme,intense",심하다
Competition or rivalry,경쟁
To love,사랑하다
No!,아니
"summer,summertime",여름
To grow up,자라다
"A time, an inning, a round in a game",회
Concretely,구체적
An opportunity,기회
"To enforce,put into effect",실시하다
The earth,지구
How many times,번째
A consumer,소비자
"To not like, to hate",싫다
Scale or scope or structure,규모
A standard or basis,기준
End,말
Most certainly,반드시
"An intention,design,purpose",셈
Make or get ready or prepare,갖추다
And so it is that,그러니까
Accept,받아들이다
Price,값
"on site, on location, at the site in question",현장
Construction,건설
To get out or draw out,꺼내다
"Laborer, worker",노동자
"everytime,always",언제나
"completely,perfectly",완전히
Car,자동차
"To transmit,convey",전하다
To exist,존재하다
Each and every month,개월
"receive,welcome (note, usually this is 맞히다)",맞다
"Especially, particularly",별로
"A youngster, a child",어린이
"To set,determine",정하다
One word,한마디
"To preserve, maintain",유지하다
Ideology,이데올로기
To study,공부하다
The masses,대중
Grow longer,늘어나다
"Wipe clean, polish",닦다
"As many as, full, complete",만
Speech,말씀
To be okay,괜찮다
A tear,눈물
All sorts or varieties,각종
Light,빛
Not,아니
"avoid,keep away",피하다
Pass or go through,거치다
"Advance, go forward",나아가다
"(Word to get somebody’s attention) Hey!! (2) impolite speech for 이다, to be",야
"Knowledge, information",지식
"As it used to be, as before ; still, persistently, even still",여전히
"The head of a family,the owner",주인
To discover,발견하다
"A line, a route",선
The human race,인류
"A special feature, a distinguishing feature",특징
An athlete,선수
"A form, formality, mold",형식
"To plan, arrange",마련하다
Half,반
To announce,발표하다
"Subject, theme, topic",주제
1) put a thing over or across 2) to range from A to B,걸치다
Experience or undergo or suffer,겪다
A point of view or a standpoint/outlook,관점
Ear,귀
A foundation,기본
Meter,미터
To disappear,사라지다
To be how,어떠하다
Feelings,감정
A memory,기억
A fellow,놈
Popularity,인기
Abdomen,배
Apartment,아파트
Sometimes,가끔
"Organization or constitution , the framework of something",구성
Spoonful,술
In reality,실제로
"Short, brief",짧다
To thank,고맙다
Management or administration,관리
That place,그곳
"More than, greater than ….",보다
"begin,start",비롯하다
Just as one thought,과연
"run, make do fast",달리다
Busy,바쁘다
Former days/times,이전
"To acknowledge,authorize",인정하다
A person,자
The middle and the heart,중앙
To be bad,나쁘다
"Deformity, malformation",불구하다
To make,시키다
Game,게임
International,국제
Group,그룹
Life,인생
"tradition,convention",전통
Educate or train or cultivate,기르다
"A cup, wine glass",잔
"To examine,investigate",조사하다
To be very big/large,커다랗다
To be,있다
A poet,시인
"when,at what time",언제
"Except, save for",외
"Evaluation, appraisal",평가
Come down,내려오다
"A position, a location",위치
"reduce,decrease",줄이다
Price,가격
"To change, vary",달라지다
"To be empty, vacant",비다
Three countries,삼국
Customer,손님
To want,원하다
"communications,correspondance",통신
"To confirm,corroborate",확인하다
"A group, a party",모임
The number of sth,수
"Laughter, a smile",웃음
An instrument or a machine,기계
"signs,indications",모양
"matter,material",물질
Announcer,아나운서
News,뉴스
"Lead a life, get along",살아가다
"Spread out, unfold",펴다
"Times, x-fold",배
"school,teaching",수업
Winter,겨울
"religion,a faith",종교
"floor,grade,class",층
To be natural,자연스럽다
One piece of sth flat,장
A meal,식사
"To hold, embrace",안다
Understanding,이해
To forget,잊다
To present,제시하다
"Group, company, party",반
Nothing more than,불과하다
If that’s not the case,혹은
"To be absurd,wild,terribly large",엄청나다
"Direction, way (the wind is blowing that ~)",편
Television,텔레비전
"Grasp, seize, understand",파악하다
"Compilation, editing",편
Practice,실천
"To try hard, strive",노력하다
"protection,shelter",보호
"To wash,cleanse",씻다
To be late (time),늦다
The neighborhood,이웃
Letter,편지
Association or union or collaboration,공동
Reason,까닭
"A plan, scheme",방안
Centimeter,센티미터
An arm,팔
To be clear/obvious,분명하다
Analysis,분석
A young girl,소녀
"To pass, elapse",지나가다
"order,sequence,degree",차
Product,상품
Explanation,설명
To be excellent,훌륭하다
The interested or affected parties,관계자
"newly,anew",새로
Age in years,세
"Get joined, be connected",이어지다
TV,티브이
Spring,봄
"kind,sort,species",종류
Be low,낮다
Shoulder,어깨
Man and wife,부부
"Long, for a long time",오래
"A demand, claim, request",요구
"To raise, bring up, rear",키우다
Lie down,눕다
"To develop, grow",발전하다
Trip,여행
Death,죽음
Suffering or agony,고통
Ball,공
"To be becoming, suiting",어울리다
May,오월
"to relax, take a break",쉬다
"To inform, tell a person",알리다
"To be full, to be filled with (PASSIVE)",차다
A lesson or a section or a department,과
Far away,멀리
"Pull out, extract",빼다
"A program, schedule",예정
Older brother,오빠
"Be pleasant,agreeable",즐겁다
"Boundary, limits",한계
"Generally, commonly ; often",흔히
"Natural disposition ; to go all out in a fight, 아주 크게 싸우다 ; the background",바탕
April,사월
To fight,싸우다
"Pretty, lovely",예쁘다
Conflict or troubles,갈등
Feel,느껴지다
"will,volition",의지
A specialty,전문
To be exact,정확하다
"The early days, the initial period",초기
"The last, the latter part",나중
Delicious,맛있다
How many days,며칠
see 6000,쓴 맛
"To go meet somebody, to go get sth",찾아오다
"beauty,grace",미
"use,emply",사용
one’s line of vision,시선
No sort of,아무런
"A speech, discussion",언론
Investment,투자
"helping, supporting, aiding",지원
To decide,결정하다
Management or administration,경영
"goal,object",목표
Growth,성장
Forest,숲
"To lose, get lost",없어지다
Last year,작년
To go down,내려가다
To reach,미치다
"dawn,daybreak",새벽
Garbage,쓰레기
"Fast, quickly, rapidly",얼른
"Wages, pay",임금
Damage,피해
A limit,한
"fearful,dreadful",무섭다
one’s work place,직장
"Bear, endure",참다
"Size, dimensions",크기
Meat,고기
To leave behind,남기다
The Western countries,서양
"The major, the chief thing",주요
To bring or get,가져오다
Smell,냄새
"soft,tender",부드럽다
"Think, consider as",여기다
"this,this thing",이
A public performance,공연
Man and woman,남녀
"Put out, take out",내놓다
"Make, create",만들어지다
Speed,속도
"seriousness,gravity",심각하다
Preparation,준비
To continue,계속되다
September,구월
"clean,pure",맑다
A boy,소년
"News, information",소식
June,유월
Application,작용
"The waist, the small of the back",허리
Goal,골
The industry or manufacturing industry,공업
Among the rest of them,그중
Old person,노인
"To earn (money) ; (2) to invite, to bring onto oneself",벌다
"1) revive, bring around, restore to life 2) save,spare,rescue",살리다
A bird,새
The english language,영어
"A native, place one is from",출신
A decision or determination,결정
Tendency or trend,경향
A record or a document,기록
Depending on,나름
"To answer, reply",대답하다
One side,반면
"Chip, mince,dice",썰다
"movement,motion,activity",움직임
Image,이미지
"Break, be torn, get away from",터지다
"A special/unique characteristic (individuality making, peculiarity)",특성
Principal,교장
"Take off, remove",벗다
"Buisness, duty",업무
An entrance examination,입시
To prepare,준비하다
"Young boys and girls, teenagers",청소년
"Yes, i see!",응
To win,이기다
To go meet somebody,찾아보다
"To adopt, assume, take",취하다
"Treat, deal with",다루다
The moon,달
Company boss,사장
March,삼월
But or however,그렇지만
one’s senior,선배
A business enterprise,업체
"stature,height",키
1) To buy or purchase or 2) look for or seek or want,구하다
The National Assembly,국회
So or hence or therefore,그러므로
"To include,contain",포함하다
Worry,걱정
Get married,결혼하다
If,만약
Be straight; be honest,바르다
"The times, things",세월
A breath,숨
"An event, a function",행사
to realize sth,깨닫다
Older sister,누나
God,신
King,왕
"More and more, by degrees",점점
"A question, a query",질문
"Be special, extraordinary",특별
"A judgment, a conclusion",판단
"To fix a problem, solve a question",해결하다
Distance,거리
To continue,계속하다
Stop or cease or halt,그치다
Nearby or the vicinity,근처
Extremely,너무나
"Raise, elevate",높이다
"injustice,wrongfulness",부정
Circumstances,사정
"In the world, on earth",도대체
"Carelessly, at random",막
Parents,부모님
Exporting sth,수출
(someone esteemed) to stay or be located,계시다
That,그
"cut,chop",자르다
Be accompanied by,데리다
Number of animals,마리
Extremely,무척
Expense,비용
An airplane,비행기
"To be right, correct",옳다
"originally,primarily",원래
"handling,treatment",처리
"In the very first, in the beginning",최초
Shape or form or appearance,꼴
"Play, game",놀이
A root,뿌리
Importing sth,수입
"Initial, in the beginning, first",초
And then or and so or and now,그리하여
Daytime,낮
Early,일찍
Staff,직원
Stamp with a dojang,찍다
Light,가볍다
The inside,내부
"1) Large and small, 2) more or less",다소
"counterpart,companion,rival",상대
Morning,오전
Skin,피부
Store,가게
Full,가득
1) still or all the time 2) easily or with no effort,그저
Degrees (temperature),도
A wall,벽
A general,장군
Trade,무역
"A burden,responsibility",부담
A promise,약속
Greetings,인사
"Line, row, chord",줄
To look up at,쳐다보다
"Enough, sufficiently",충분히
The body,신체
Energy,에너지
A member of a committee,위원
To adjust,정리하다
Inside the house,집안
Background,배경
To kill,죽이다
Be simple-minded,단순하다
Opposite and being opposed to (objecting to),반대
"A law, a rule",법칙
"To indulge in, be addicted to",빠지다
Salt,소금
"Contamination, pollution",오염
Bicycle,자전거
"To participate in, take part in",참여하다
"fault,blame",탓
"To be blue, to be green",푸르다
Child,걔
Yes or that’s right,그래
The neck,목
Announcement,발표
A crime,범죄
"Position, grade, rank",위
"Shake, sway",흔들다
The foundation,기초
Logic,논리
"Pull out, draw",뽑다
"To make, build, kindle",피우다
Sense or sensation or feeling,감각
Beforehand,미리
"Be short of, lack",부족하다
We,저희
"To have progressed, be advanced",진행되다
Traffic or transportation,교통
Structure or framework,기구
"A way, a method",법
For a long time,오랜
Young person,젊은이
"candidature,candidacy",후보
A road or street,거리
A subject or a thesis or homework; an exercise/a problem,과제
Basis or foundation,근거
To record and write down,기록하다
Approach,다가오다
Blow,불다
angle/point of view. 관점.,시각
"To guide,lead",이끌다
Synthesis,종합
Korean writing system,한글
Autumn or fall,가을
Develop or exploit or open up to development,개발하다
Tomorrow,내일
Every day,매일
a finger,손가락
"means,way",수단
Well!!,자
To be free,자유롭다
Positively,적극적
"Sale, selling",판매
Formation,형성
Tip or slant or incline,기울이다
Length or extent,길이
"A scene, situation",장면
"gradually,in steps",점차
A ton,톤
Be connected or related to,관련되다
Class or grade or rank,급
"The rest, the remainder ; as a result of the excess of, as a result",나머지
Weather,날씨
"Join in, do together",더불다
"A doctor, a physician",의사
Open or throw open,개방
To be healthy,건강하다
Future,미래
"Before, previously 2) in anticipation,beforehand",앞서
"You (plural, to address a group at speech time)",여러분
Because,왜냐하면
Population,인구
To expect or look forward to,기대하다
You,네
To arrive,도착하다
Sickness,병
Software,소프트웨어
"spill,shed (tears,blood)",흘리다
Reaction,반응
"The head of a family, the hero/heroine",주인공
"Be natural, be no wonder",당연하다
"criticism,a comment",비판
To lend,빌리다
Generation,세대
Football,축구
"The respectful, proper way a man refers to an older friend",형님
Be put on sth else (2) to become peaceful,놓이다
"On the spot, immediately",당장
The time when,무렵
To be promising,밝다
"objects,things",사물
"Universal, general",일반적
Place,장소
Beautiful,곱다
Floor,바닥
Baby animal,새끼
To come to think sth,생각되다
Service,서비스
To choose,선택하다
"plant,sow (a tree)",심다
Write down,적다
The nose,코
To be simple,간단하다
A senior high school,고등학교
"opening to the public, making public",공개
Classroom,교실
"By oneself, do it alone",스스로
Endure or bear,견디다
An article or an account,기사
Be stopped up,막히다
"A medium,medias",매체
A star,별
Be complicated,복잡하다
"sprinkle,scatter",뿌리다
Territory,영역
An experience,체험
To arrest or put in detention,구속
"(1) it is possible that 아마도 2) how on earth, how the hell",어쩌면
To overcome or surmount,극복하다
Illegal,불법
A secret,비밀
Color,색
"To be used, to be utilized/employed",쓰이다
"To be regular, established, uniform ; changeless, constant, certain, definite ; invariable (mathematics)",일정하다
"Make sure, to harden oneself, firm up one\\`s will",다지다
A little while ago,아까
"To fit, be fitting, suitable",알맞다
"An idea, a doctrine, ideology",이념
"White, fair",희다
Point to or indicate,가리키다
Attend on,모시다
"Development, growth",발달
Many and many,수많다
"Pay off, pay one’s bill",치르다
Peace,평화
Construction work or engineering work,공사
Doctor,박사
"a sex (male or female), a sexual gender",성
A specialist,전문가
"Simple, merely",단지
Speak,말씀하다
"dancing,a dance",무용
To be called,불리다
A fight,싸움
"Constantly, repeatedly",자꾸
"Make ready,prepare",차리다
"Abroad, foreign countries",해외
So or to that extent,그리
Cultural assets,문화재
Smile,미소
The normal,보통
Restaurant,식당
"To mean, signify",의미하다
"Since, after that, hereafter",이래
Physical education,체육
To be organized,구성되다
"Unique, characteristic, distinctive, peculiar, specific",독특하다
"thanks,gratitude",사례
"To introduce,present",소개하다
To turn out well,잘되다
"To propel, drive forward",추진하다
Month of July,칠월
"A frame, framework; mold",틀
Average,평균
Training,훈련
"Flowing, a stream/current",흐름
December,십이월
Be piled/heaped up,쌓이다
Profit,이익
"To hold,seize",쥐다
Cup,컵
In addition,게다가
Boil or heat or make hot,끓이다
"Dissertations , an academic paper (these are 2 separate meanings)",논문
Stop,멈추다
"Be used, be employed",사용되다
For a long time,오랫동안
"A crisis,an emergency situation",위기
A political party,정당
Paper,종이
To go to a place to meet somebody,찾아가다
"voilent,brute force",폭력
Sometimes,혹시
"Increase, gain",늘다
"quantity,volume",양
"process,formalities; 수속",절차
(honorofic) to stay or reside,계시다
Air,공기
"To reach, get to",닿다
"Belong to, be affiliated with",속하다
Olympic,올림픽
"Except, apart from",이외
"amusement,enjoyment",재미
"offer,proffer",제공하다
"increase,rise,grow",증가하다
Expectation,기대
"food,provisions",식물
"Old, ancient",옛
"To shout, scream",외치다
At the least,적어도
Untroubled from cares,편하다
"a Pyeong, a square area about 2 square meters",평
A right or a claim to,권리
To end,끝내다
An answer,대답
The beginning,시작
"difficulty, hardship",어려움
One whole day,일주일
Resources,자원
Dance,춤
"Pass over, send across",넘기다
A material body,물체
Obviously,분명히
A demonstration,시위
Anything,아무것
"All, whole, entire",온
"To be wet, soaked",젖다
To exclude,제외하다
"The greatest, the largest",최대
"Ordinary times, ordinarily",평소
An opinion or view. Same as 의견,견해
To be clean or pure,깨끗하다
Farming,농사
Stability,안정
Darkness,어둠
"To be dark, dim, gloomy",어둡다
"In any case, anyhow",어쨌든
A house,주택
A district or producing area,고장
To be related to or connected to,관련하다
Line of vision,눈길
Ask,물어보다
To be sorry,미안하다
"push, shove",밀다
Stress,스트레스
"Sound you make to express doubt, worry",음
"People, men of society",인사
"To offer, proffer (conditions)",주어지다
Regard or respect,고려하다
A fruit,과일
Widely,널리
A farm village,농촌
Come up,올라오다
"gather, collect, assemble your stuff — to amass (money, a collection)",챙기다
Choose or select,고르다
"Spread, apply",바르다
"To get serious, enlarge",벌어지다
"material, subject matter",소재
"A view, prospect",전망
"To give up, to abandon",포기하다
"To be formed, made up",형성되다
"To fix, amend, change",고치다
A shadow or a silhouette or an image,그림자
Snow,눈
"Finish, go through, be exhausted, run out of",다하다
"Finally, in the end",마침내
To compare,비교하다
October,시월
To become bigger,커지다
On one side,한쪽
Investigation or inspection or examination or audit,검사
A conclusion,결론
Entrust sb with sth,맡기다
Museum,박물관
A rumor,소문
"To load, take (passengers)",싣다
To pile up,쌓다
